id_code	name_full	type_id	name_short	name_sort	attr_ref	modified_datetime_iso	is_deprecated	rib_taxonomy_id	related_count	notes	modified_user	uri_pattern	parent_id
3213	Grafito	3000	Grafito	Grafito		2024-08-01T00:39:21Z	True	0	0				0
3212	Glande, chumbo	3000	Glande, chumbo	Glande, chumbo	https://www.eagle-network.eu/voc/typeins/lod/137	2024-08-01T00:39:21Z	True	0	0				0
3211	Fideicommissum	3000	Fideicommissum	Fideicommissum	https://www.eagle-network.eu/voc/typeins/lod/50	2024-08-01T00:39:21Z	True	0	0		Designer		0
3210	Evergética	3000	Evergética	Evergética	https://www.eagle-network.eu/voc/typeins/lod/145	2024-08-01T00:39:21Z	True	0	0	2020-10-30 (SDV): all related items to be re-assigned by Pieter and attribute deprecated	Designer		0
3209	Estampilla	3000	Estampilla	Estampilla		2024-08-01T00:39:21Z	True	0	0				0
3208	Epitafio / sepulcral	3000	Epitafio / sepulcral	Epitafio / sepulcral	https://www.eagle-network.eu/voc/typeins/lod/92	2025-02-14T19:34:18Z	True	17660	0				0
3207	Edilicia	3000	Edilicia	Edilicia		2024-08-01T00:39:21Z	True	0	0				0
3206	Diploma militar	3000	Diploma militar	Diploma militar		2024-08-01T00:39:21Z	True	0	0				0
3205	Defixio	3000	Defixio	Defixio		2024-08-01T00:39:21Z	True	0	0				0
3204	Dedication	3000	Dedication	Dedication	https://www.eagle-network.eu/voc/typeins/lod/88	2025-02-14T19:34:18Z	False	17641	4360		Designer		0
3203	Cultual	3000	Cultual	Cultual	https://www.eagle-network.eu/voc/typeins/lod/81	2024-08-01T00:39:21Z	True	0	0				0
3202	Brief	3000	Brief	Brief		2024-08-01T00:39:21Z	True	0	0				0
3201	Anepigraphic	3000	Anepigraphic	Anepigraphic	https://www.eagle-network.eu/voc/typeins/lod/141	2025-02-14T19:34:18Z	False	17683	509		Designer		0
3200	Acuerdo de Hospitalidad	3000	Acuerdo de Hospitalidad	Acuerdo de Hospitalidad		2024-08-01T00:39:21Z	True	0	0				0
3169	Place marker: other	3000	Place marker: other	Place marker: other	https://www.eagle-network.eu/voc/typeins/lod/365	2025-02-14T19:34:18Z	False	17671	3				3148
3168	Falsa	3000	Falsa	Falsa		2024-08-01T00:39:21Z	True	0	0		Designer		0
3167	Citation	3000	Citation	Citation	https://www.eagle-network.eu/voc/typeins/lod/55	2024-08-01T00:39:21Z	True	0	0		Designer		0
3166	Verse	3000	Verse	Verse	https://www.eagle-network.eu/voc/typeins/lod/368	2025-02-14T19:34:18Z	False	17654	612				0
3165	Speaking object	3000	Speaking object	Speaking object		2025-02-14T19:34:18Z	False	17716	78		Designer		0
3164	Fasti: calendar	3000	Fasti: calendar	Fasti: calendar	https://www.eagle-network.eu/voc/typeins/lod/361	2025-02-14T19:34:18Z	True	17668	0		Designer		0
3163	Document: Public	3000	Document: Public	Document: Public	https://www.eagle-network.eu/voc/typeins/lod/360	2025-02-14T19:34:18Z	False	17665	209		Designer		3161
3162	Document: Private	3000	Document: Private	Document: Private	https://www.eagle-network.eu/voc/typeins/lod/359	2025-02-14T19:34:18Z	False	17664	970		Designer		3161
3161	Document	3000	Document	Document	https://www.eagle-network.eu/voc/typeins/lod/357	2025-02-14T19:34:18Z	False	17644	163				0
3160	Building	3000	Building	Building	https://www.eagle-network.eu/voc/typeins/lod/86	2025-02-14T19:34:18Z	False	17640	3179		Designer		0
3159	Writing Practice: Alphabet	3000	Writing Practice: Alphabet	Writing Practice: Alphabet	https://www.eagle-network.eu/voc/typeins/lod/112	2025-02-14T19:34:18Z	False	17648	56		Designer		3305
3158	Dipinto	3000	Dipinto	Dipinto		2024-08-01T00:39:21Z	False	0	0		Designer		0
3157	Funerary: epitaph	3000	Funerary: epitaph	Funerary: epitaph	https://www.eagle-network.eu/voc/typeins/lod/92	2025-02-14T19:34:18Z	False	17660	23784		Designer		3059
3156	Honorific	3000	Honorific	Honorific	https://www.eagle-network.eu/voc/typeins/lod/69	2025-02-14T19:34:18Z	False	17663	2276		Designer		0
3155	Tesserae hospitales	3000	Tesserae hospitales	Tesserae hospitales	https://www.eagle-network.eu/voc/typeins/lod/133	2024-08-01T00:39:21Z	False	0	31	Was 'Label: tesserae hospitales'	Designer		0
3154	Religion: Magic: Defixio	3000	Defixio	Religion: Magic: Defixio	https://www.eagle-network.eu/voc/typeins/lod/76	2025-02-14T19:34:18Z	False	17673	639		Designer		3309
3153	Religion: Dedication	3000	Religion: Dedication	Religion: Dedication	https://www.eagle-network.eu/voc/typeins/lod/79	2025-09-26T07:03:25Z	False	17714	7823		Designer		3293
3152	Religion: Other	3000	Religion: Other	Religion: Other	https://www.eagle-network.eu/voc/typeins/lod/79	2024-08-01T00:39:21Z	False	0	28		Designer		3293
3151	(unknown)	3000	(unknown)	(unknown)	https://www.eagle-network.eu/voc/typeins/lod/143	2025-10-19T15:56:43Z	False	17656	4650		Designer		0
3150	Place marker: milestone	3000	Place marker: milestone	Place marker: milestone	https://www.eagle-network.eu/voc/typeins/lod/102	2025-02-14T19:34:18Z	False	17670	2062		Designer		3148
3149	Place marker: boundary marker	3000	Place marker: boundary marker	Place marker: boundary marker	https://www.eagle-network.eu/voc/typeins/lod/96	2025-02-14T19:34:18Z	False	17669	150		Designer		3148
3148	Place marker	3000	Place marker	Place marker	https://www.eagle-network.eu/voc/typeins/lod/365	2025-02-14T19:34:18Z	False	17646	32				0
3147	Fasti: list	3000	Fasti: list	Fasti: list	https://www.eagle-network.eu/voc/typeins/lod/108	2025-02-14T19:34:18Z	True	17667	0		Designer		0
3146	Fasti	3000	Fasti	Fasti	https://www.eagle-network.eu/voc/typeins/lod/2	2025-02-14T19:34:18Z	True	17645	0				0
3145	Honorific: other	3000	Honorific: other	Honorific: other		2025-02-14T19:34:18Z	True	17663	0				0
