id_code	xml_id	description	parent_taxonomy_id	parent_id	eagle_uri	sort_order	notes	old_id	latnow_attr_id	fair_epigraphy_uri	is_deprecated	wikidata_id
10980	object.instrumentum.toiletries.mirror_frame	Mirror frame	RIB-object_type	10420		0		102	6447		False	
10990	object.instrumentum.toiletries.strigil	Strigil	RIB-object_type	10420		0		103	6447		False	Q282837
11000	object.instrumentum.tool.awl	Awl	RIB-object_type	10430		0		105	6446		False	Q400406
11010	object.instrumentum.tool.axe	Axe	RIB-object_type	10430		0		106	6446		False	Q39397
11020	object.instrumentum.tool.chisel	Chisel	RIB-object_type	10430		0		107	6446		False	Q474188
11030	object.instrumentum.tool.dolabra	Dolabra	RIB-object_type	10430		0		108	6446		False	Q1235284
11040	object.instrumentum.tool.hammer	Hammer	RIB-object_type	10430		0		109	6446		False	Q25294
11050	object.instrumentum.tool.hone	Hone	RIB-object_type	10430		0		110	6446		False	Q507559
11060	object.instrumentum.tool.other	Other tool	RIB-object_type	10430		0		114	6446		False	
11070	object.instrumentum.tool.scraper	Scraper	RIB-object_type	10430		0		111	6446		False	Q2605626
11080	object.instrumentum.tool.tile_comb	Tile Comb	RIB-object_type	10430		0		112	6446		False	
11090	object.instrumentum.tool.wedge	Wedge	RIB-object_type	10430		0		113	6446		False	Q131408
11100	object.instrumentum.tool.whetstone	Whetstone	RIB-object_type	10430		0	Combine with Hone (sharpening stone)?	0	6446		False	Q507559
11110	object.instrumentum.vessel.amphora	Amphora	RIB-object_type	10450		0		117	6014		False	Q178401
11120	object.instrumentum.vessel.barrel	Barrel	RIB-object_type	10450		0		118	6134		False	Q10289
11130	object.instrumentum.vessel.beaker	Beaker	RIB-object_type	10450		0		121	6131		False	Q833823
11140	object.instrumentum.vessel.bottle	Bottle	RIB-object_type	10450		0		122	6064		False	Q80228
11150	object.instrumentum.vessel.bowl	Bowl	RIB-object_type	10450		0		123	6060		False	Q153988
11160	object.instrumentum.vessel.casket	Casket	RIB-object_type	10450		0		124	6454		False	Q639460
11170	object.instrumentum.vessel.cauldron	Cauldron	RIB-object_type	10450		0		125	6455		False	Q1317634
11180	object.instrumentum.vessel.colander	Colander	RIB-object_type	10450		0		126	6456		False	Q1057060
11190	object.instrumentum.vessel.costrel	Costrel	RIB-object_type	10450		0		127	6457		False	Q1396224
11200	object.instrumentum.vessel.cup	Cup	RIB-object_type	10450		0		128	6359		False	Q81727
11210	object.instrumentum.vessel.dish	Dish	RIB-object_type	10450		0		129	6031		False	Q746549
11220	object.instrumentum.vessel.flagon	Flagon	RIB-object_type	10450		0		130	6450		False	Q10563755
11230	object.instrumentum.vessel.flask	Flask	RIB-object_type	10450		0		131	6458		False	Q18696213
11240	object.instrumentum.vessel.goblet	Goblet	RIB-object_type	10450		0		132	6185		False	Q18451251
11250	object.instrumentum.vessel.inkwell	Ink well	RIB-object_type	10450		0		133	6459		False	Q1160546
11260	object.instrumentum.vessel.jar	Jar	RIB-object_type	10450		0		134	6220		False	Q1207302
11270	object.instrumentum.vessel.jug	Jug	RIB-object_type	10450		0		135	6129		False	Q2413314
11280	object.instrumentum.vessel.lamp	Lamp	RIB-object_type	10450		0		137	6226		False	Q821952
11290	object.instrumentum.vessel.dish.lanx	Lanx	RIB-object_type	11210		0		138	6460		False	Q1805615
11300	object.instrumentum.vessel.lid	Lid	RIB-object_type	10450		0		139	6126		False	Q2488579
11310	object.instrumentum.vessel.mortar	Mortar	RIB-object_type	10450		0		140	6461		False	Q45778
11320	object.instrumentum.vessel.mortarium	Mortarium	RIB-object_type	10450		0		141	6256		False	Q1948673
11330	object.instrumentum.vessel.other	Other vessel	RIB-object_type	10450		0		142	6402		False	
11340	object.instrumentum.vessel.pan	Pan	RIB-object_type	10450		0		143	6462		False	
11350	object.instrumentum.vessel.patera	Patera	RIB-object_type	10450		0		144	6266		False	
11360	object.instrumentum.vessel.pitcher	Pitcher	RIB-object_type	10450		0		145	6463		False	
11370	object.instrumentum.vessel.plate	Plate	RIB-object_type	10450		0		146	6419		False	
11380	object.instrumentum.vessel.platter	Platter	RIB-object_type	10450		0		147	6296		False	
11390	object.instrumentum.vessel.pot	Pot	RIB-object_type	10450		0		148	6302		False	
11400	object.instrumentum.vessel.skyphos	Skyphos	RIB-object_type	10450		0		149	6464		False	
