id_code	name	variant_type	parent_table_id	parent_id	certainty_id	language_attribute_id	related_entity_id	notes
29818	El Toro	102	94	7211	1	1400	0	
29817	El Puig de La Nao	102	94	7210	1	1400	0	
29816	Crevillent	102	94	7203	1	1400	0	
29815	Crevillente / Crevillent	102	94	7203	1	1400	0	
29814	Coto de Doñana	102	94	7200	1	1400	0	
29813	Cornellà	102	94	7198	1	1400	0	
29812	Comarca del Alt Empordà	102	94	7196	1	1400	0	
29811	Ciudadela visigoda del Puig Rom	102	94	7194	1	1400	0	
29810	Cervera del Maestrat	102	94	7193	1	1400	0	
29809	Cervera del Maestre / Cervera del Maestrat	102	94	7193	1	1400	0	
29808	Castellnou	102	94	7186	1	1400	0	
29807	Castellnovo / Castellnou	102	94	7186	1	1400	0	
29806	Cala Vedella	301	94	7175	1	1400	0	
29805	Playa de Camposoto	102	94	7174	1	1400	0	
29804	Cádiz	301	94	7174	1	1400	0	
29803	Campososto	102	94	7174	1	1400	0	
29802	Cala de S. Vicente	501	94	7170	1	1400	0	
29801	Poblado de Biniatram	102	94	7161	1	1400	0	
29800	Bell-lloc	102	94	7154	1	1400	0	
29799	Benlloch	102	94	7154	1	1400	0	
29798	Benlloch / Bell-lloc	102	94	7154	1	1400	0	
29797	Benasal	102	94	7151	1	1400	0	
29796	Benasal / Benassal	102	94	7151	1	1400	0	
29795	Bechí	102	94	7148	1	1904	0	
29794	Bechí / Betxí	102	94	7148	1	1400	0	
29793	Bajo de la Campana (shipwreck)	102	94	7012	1	1400	0	
29792	Hellín	301	94	8026	1	1400	0	
29791	El Tolmo de Minateda	102	94	17729	1	1400	0	
29790	Unknown	102	94	192	1	1400	0	
29789	Desconocido (v. contexto arqueológico)	102	94	192	1	1904	0	
29788	desconocido	102	94	192	1	1904	0	
29787	Sant Boi de Llogregat	102	94	7304	1	1400	0	Misspelling by Hesperia
29786	Poblat ibèric de Ca n'Oliver	102	94	7924	1	1913	0	
29785	Poblado íbero Can Olivé	102	94	7924	1	1904	0	
29784	Nossa Senhora da Póvoa de Mileu	102	94	10979	1	1400	0	
29783	Estação Arqueológica da Póvoa do Mileu	102	94	10979	1	1400	0	
29782	São Vicente	302	94	10979	1	1400	0	
29781	Civitas Maggaviensium	102	94	10540	1	1050	0	
29780	Complejo ibérico de El Cigarralejo	102	94	9768	1	1904	0	
29779	Torre dels Encantats	102	94	9050	1	1913	0	
29778	Arenys de Mar	302	94	9050	1	1400	0	
29777	Cueva de san Esteve	102	94	11037	1	1400	0	
29775	Oppidum d'Ensérune	102	94	18773	1	1400	0	
29774	Cartago Nova	102	94	17692	1	1400	0	
29773	Vieille Toulouse	102	94	14947	1	1400	0	
29772	Santa Coloma de Gramanet	102	94	12770	1	1904	0	
29771	Campello	102	94	12696	1	1400	0	
29770	Foz Calanda	102	94	12687	1	1400	0	
29769	Moixent	102	94	7263	1	1400	0	
29768	Puebla-Tornesa / Pobla Tornesa	102	94	12528	1	1400	0	
29767	Ullastret	301	94	11219	1	1400	12442	
29766	Puig de Sant Andreu	102	94	11219	1	1400	0	
29765	Castillo de Toya	102	94	17918	1	1904	0	
29764	Torre de Toya del antiguo Castillo	102	94	17918	1	1904	0	
29763	Toya	102	94	17918	1	1400	0	
29762	Iglesuela del Cid	102	94	11877	1	1400	0	
29761	Alcalá de Chivert / Alcalà de Xivert	102	94	11874	1	1400	0	
29760	Albocacer / Albocàsser	102	94	11873	1	1400	0	
29759	La Escala	301	94	10435	1	1400	0	
29758	Ampurias	102	94	10435	1	1904	0	
